recipe,default_portion,default_portion_in_grams,Calcium_(MG)_per_100G,Carbohydrates_(G)_per_100G,Iron_(MG)_per_100G,Lipid_(G)_per_100G,Magnesium_(MG)_per_100G,Protein_(G)_per_100G,Sodium_(MG)_per_100G,Vitamin_A_(UG)_per_100G,Vitamin_C_(MG)_per_100G,Vitamin_D_(UG)_per_100G,Carbohydrates_(G)_total,Protein_(G)_total,Lipid_(G)_total,Calcium_(MG)_total,Iron_(MG)_total,Magnesium_(MG)_total,Sodium_(MG)_total,Vitamin_C_(MG)_total,Vitamin_D_(UG)_total,Vitamin_A_(UG)_total
Milk shake with malt,1 milkshake (10 fl oz),280.0,131.0,13.64,0.06,6.11,16.0,3.76,66.0,63.0,0.3,0.8,38.192,10.527999999999999,17.108,366.8,0.168,44.8,184.8,0.84,2.24,176.4
"Milk shake, bottled, chocolate",1 cup,248.0,115.0,20.36,0.73,6.66,23.0,3.7,80.0,89.0,0.0,0.0,50.492799999999995,9.176,16.5168,285.2,1.8104,57.04,198.4,0.0,0.0,220.72
"Milk shake, bottled, flavors other than chocolate",1 cup,248.0,115.0,19.59,0.46,6.52,13.0,3.37,81.0,91.0,0.0,0.0,48.5832,8.3576,16.1696,285.2,1.1408,32.24,200.88,0.0,0.0,225.68
"Milk shake, fast food, chocolate",1 large,690.0,115.0,20.36,0.73,6.66,23.0,3.7,80.0,89.0,0.0,0.0,140.484,25.53,45.95400000000001,793.5,5.037,158.7,552.0,0.0,0.0,614.1
"Milk shake, fast food, flavors other than chocolate",Quantity not specified,405.0,115.0,19.59,0.46,6.52,13.0,3.37,81.0,91.0,0.0,0.0,79.3395,13.648500000000002,26.406,465.75,1.8630000000000002,52.65,328.05,0.0,0.0,368.55
"Milk shake, home recipe, chocolate",1 fl oz,28.0,118.0,13.53,0.35,6.14,18.0,3.47,52.0,64.0,0.3,0.8,3.7883999999999998,0.9716000000000001,1.7191999999999998,33.04,0.09799999999999999,5.04,14.56,0.084,0.22400000000000003,17.92
"Milk shake, home recipe, chocolate, light",Quantity not specified,280.0,138.0,12.93,0.26,3.31,15.0,3.99,51.0,63.0,0.5,0.7,36.204,11.172,9.268,386.4,0.728,42.0,142.8,1.4,1.96,176.4
"Milk shake, home recipe, flavors other than chocolate",1 cup,224.0,125.0,11.39,0.03,5.98,13.0,3.35,53.0,63.0,0.2,0.8,25.5136,7.504,13.395199999999999,280.0,0.0672,29.12,118.72,0.44800000000000006,1.7920000000000003,141.12
"Milk shake, home recipe, flavors other than chocolate, light",Quantity not specified,280.0,138.0,13.83,0.07,2.33,13.0,3.88,51.0,83.0,0.4,0.7,38.724000000000004,10.863999999999999,6.524,386.4,0.196,36.4,142.8,1.12,1.96,232.4
"Milk, NFS",Guideline amount per cup of hot cereal,61.0,125.0,4.83,0.0,2.14,12.0,3.33,39.0,58.0,0.1,1.1,2.9463,2.0313,1.3054000000000001,76.25,0.0,7.32,23.79,0.061000000000000006,0.671,35.38
"Milk, condensed, sweetened",1 cup,304.0,284.0,54.4,0.19,8.7,26.0,7.91,127.0,74.0,2.6,0.2,165.37599999999998,24.0464,26.447999999999997,863.36,0.5776,79.04,386.08,7.904,0.6080000000000001,224.96
"Milk, dry, not reconstituted",1 cup,128.0,1257.0,51.98,0.32,0.77,110.0,36.16,535.0,653.0,6.8,11.0,66.53439999999999,46.2848,0.9856,1608.96,0.4096,140.8,684.8,8.704,14.08,835.84
"Milk, dry, reconstituted, nonfat",Guideline amount per cup of hot cereal,61.0,114.0,4.6,0.03,0.07,11.0,3.2,51.0,58.0,0.6,1.0,2.8059999999999996,1.9520000000000002,0.0427,69.54,0.018299999999999997,6.71,31.11,0.366,0.61,35.38
"Milk, dry, reconstituted, whole",Guideline amount per cup of hot cereal,61.0,142.0,5.86,0.07,4.08,14.0,4.01,60.0,39.0,1.3,1.6,3.5746,2.4461,2.4888,86.62,0.0427,8.54,36.6,0.7929999999999999,0.9760000000000001,23.79
"Milk, evaporated, NS as to fat content",1 fl oz,31.5,261.0,10.04,0.19,7.56,24.0,6.81,106.0,65.0,1.9,2.0,3.1626,2.1451499999999997,2.3813999999999997,82.215,0.05985,7.56,33.39,0.5984999999999999,0.63,20.475
"Milk, evaporated, fat free (skim)",1 fl oz,31.5,290.0,11.35,0.29,0.2,27.0,7.55,115.0,118.0,1.2,2.0,3.5752499999999996,2.37825,0.063,91.35,0.09135,8.505,36.225,0.37799999999999995,0.63,37.17
"Milk, evaporated, reduced fat (2%)",1 fl oz,31.5,285.0,11.15,0.28,1.96,27.0,7.42,113.0,131.0,1.2,2.0,3.5122500000000003,2.3373,0.6174000000000001,89.775,0.0882,8.505,35.595,0.37799999999999995,0.63,41.265
"Milk, evaporated, whole",1 fl oz,31.5,261.0,10.04,0.19,7.56,24.0,6.81,106.0,65.0,1.9,2.0,3.1626,2.1451499999999997,2.3813999999999997,82.215,0.05985,7.56,33.39,0.5984999999999999,0.63,20.475
"Milk, fat free (skim)",1 individual school container,244.0,132.0,4.92,0.0,0.08,12.0,3.43,41.0,64.0,0.0,1.1,12.0048,8.369200000000001,0.19519999999999998,322.08,0.0,29.28,100.04,0.0,2.684,156.16
"Milk, lactose free, fat free (skim)",Guideline amount per fl oz of beverage,2.5,132.0,4.92,0.0,0.08,12.0,3.43,41.0,64.0,0.0,1.1,0.12300000000000001,0.08575,0.002,3.3,0.0,0.3,1.025,0.0,0.0275,1.6
"Milk, lactose free, low fat (1%)",Guideline amount per cup of hot cereal,61.0,126.0,5.18,0.0,0.95,12.0,3.38,39.0,58.0,0.0,1.1,3.1597999999999997,2.0618,0.5794999999999999,76.86,0.0,7.32,23.79,0.0,0.671,35.38
"Milk, lactose free, reduced fat (2%)",1 cup,244.0,126.0,4.9,0.0,1.9,12.0,3.36,39.0,83.0,0.2,1.1,11.956000000000001,8.1984,4.635999999999999,307.44,0.0,29.28,95.16,0.48800000000000004,2.684,202.52
"Milk, lactose free, whole",Quantity not specified,244.0,123.0,4.63,0.0,3.2,12.0,3.27,38.0,32.0,0.0,1.1,11.2972,7.9788,7.808000000000001,300.12,0.0,29.28,92.72,0.0,2.684,78.08
"Milk, low fat (1%)",1 individual school container,244.0,126.0,5.18,0.0,0.95,12.0,3.38,39.0,58.0,0.0,1.1,12.639199999999999,8.2472,2.3179999999999996,307.44,0.0,29.28,95.16,0.0,2.684,141.52
"Milk, malted",Quantity not specified,256.0,159.0,8.64,0.71,2.05,21.0,3.19,60.0,114.0,2.4,1.4,22.1184,8.1664,5.247999999999999,407.04,1.8175999999999999,53.76,153.6,6.144,3.5839999999999996,291.84
"Milk, malted, dry mix, not reconstituted",Quantity not specified,11.0,909.0,92.96,16.36,0.0,218.0,0.0,530.0,1365.0,54.5,9.1,10.2256,0.0,0.0,99.99,1.7995999999999999,23.98,58.3,5.995,1.001,150.15
"Milk, reduced fat (2%)",1 individual school container,244.0,126.0,4.9,0.0,1.9,12.0,3.36,39.0,83.0,0.2,1.1,11.956000000000001,8.1984,4.635999999999999,307.44,0.0,29.28,95.16,0.48800000000000004,2.684,202.52
"Milk, whole",Guideline amount per fl oz of beverage,2.5,123.0,4.63,0.0,3.2,12.0,3.27,38.0,32.0,0.0,1.1,0.11574999999999999,0.08175,0.08,3.075,0.0,0.3,0.95,0.0,0.0275,0.8
Millet,"1 cup, cooked",170.0,3.0,23.57,0.63,1.0,44.0,3.5,168.0,0.0,0.0,0.0,40.069,5.95,1.7,5.1,1.071,74.8,285.6,0.0,0.0,0.0
Mimosa,1 fl oz,30.0,33.0,6.49,0.16,0.18,10.0,0.43,4.0,1.0,14.7,0.2,1.947,0.129,0.05399999999999999,9.9,0.048,3.0,1.2,4.41,0.06,0.3
Mint julep,1 fl oz,30.0,0.0,5.75,0.03,0.01,0.0,0.0,4.0,0.0,0.0,0.0,1.725,0.0,0.003,0.0,0.009,0.0,1.2,0.0,0.0,0.0
Miso,Quantity not specified,12.0,57.0,25.37,2.49,6.01,48.0,12.79,3728.0,4.0,0.0,0.0,3.0444,1.5348,0.7212000000000001,6.84,0.2988,5.76,447.36,0.0,0.0,0.48
Miso sauce,1 tablespoon,16.0,20.0,13.99,0.67,41.0,2.0,3.43,1086.0,2.0,0.0,0.0,2.2384,0.5488000000000001,6.56,3.2,0.1072,0.32,173.76,0.0,0.0,0.32
"Mixed nuts, NFS",Quantity not specified,28.0,93.0,20.9,2.76,53.82,196.0,19.59,313.0,1.0,0.4,0.0,5.851999999999999,5.4852,15.069600000000001,26.04,0.7728,54.88,87.64,0.11200000000000002,0.0,0.28
"Mixed nuts, honey roasted",Quantity not specified,28.0,73.0,33.11,2.16,46.72,153.0,15.35,388.0,0.0,0.3,0.0,9.2708,4.298,13.081599999999998,20.44,0.6048,42.84,108.64,0.084,0.0,0.0
"Mixed nuts, unroasted",1 package,50.0,137.0,22.88,4.24,54.56,236.0,16.97,7.0,1.0,0.9,0.0,11.44,8.485,27.28,68.5,2.12,118.0,3.5,0.45,0.0,0.5
"Mixed nuts, with peanuts, lightly salted",Quantity not specified,28.0,93.0,20.99,2.77,54.04,197.0,19.67,160.0,1.0,0.4,0.0,5.877199999999999,5.5076,15.1312,26.04,0.7756000000000001,55.16,44.8,0.11200000000000002,0.0,0.28
"Mixed nuts, with peanuts, salted",Quantity not specified,28.0,93.0,20.9,2.76,53.82,196.0,19.59,313.0,1.0,0.4,0.0,5.851999999999999,5.4852,15.069600000000001,26.04,0.7728,54.88,87.64,0.11200000000000002,0.0,0.28
"Mixed nuts, with peanuts, unsalted",Quantity not specified,28.0,93.0,21.07,2.78,54.25,198.0,19.75,6.0,1.0,0.4,0.0,5.8996,5.53,15.19,26.04,0.7783999999999999,55.44,1.68,0.11200000000000002,0.0,0.28
"Mixed nuts, without peanuts, salted",1 package,50.0,133.0,22.0,4.08,55.5,227.0,16.32,320.0,1.0,0.9,0.0,11.0,8.16,27.75,66.5,2.04,113.5,160.0,0.45,0.0,0.5
"Mixed nuts, without peanuts, unsalted",1 cup,142.0,133.0,22.18,4.11,55.95,229.0,16.45,6.0,1.0,0.9,0.0,31.4956,23.359,79.44900000000001,188.86,5.8362,325.18,8.52,1.278,0.0,1.42
"Mixed salad greens, raw",Guideline amount in salad,70.0,39.0,3.43,0.46,0.21,27.0,1.31,41.0,298.0,11.7,0.0,2.4010000000000002,0.917,0.147,27.3,0.322,18.9,28.7,8.19,0.0,208.6
Mixed seeds,Quantity not specified,28.0,66.0,21.73,4.87,49.61,234.0,21.96,7.0,0.0,1.5,0.0,6.0844000000000005,6.1488,13.890799999999999,18.48,1.3636000000000001,65.52,1.96,0.42,0.0,0.0
Mixed vegetable juice,Quantity not specified,123.0,35.0,6.3,0.23,0.16,12.0,0.72,82.0,489.0,5.8,0.0,7.749,0.8856,0.1968,43.05,0.28290000000000004,14.76,100.86,7.1339999999999995,0.0,601.47
Mock chicken legs,Quantity not specified,85.0,17.0,8.04,1.11,13.59,24.0,21.54,313.0,2.0,0.0,0.5,6.834,18.308999999999997,11.5515,14.45,0.9435000000000001,20.4,266.05,0.0,0.425,1.7
Mojito,1 drink,225.0,7.0,2.45,0.11,0.03,2.0,0.09,15.0,7.0,2.4,0.0,5.5125,0.2025,0.0675,15.75,0.2475,4.5,33.75,5.4,0.0,15.75
Molasses,1 tablespoon,20.0,205.0,74.73,4.72,0.1,242.0,0.0,37.0,0.0,0.0,0.0,14.946000000000002,0.0,0.02,41.0,0.944,48.4,7.4,0.0,0.0,0.0
Mole sauce,1 tablespoon,16.0,10.0,10.77,0.92,3.82,17.0,0.98,493.0,32.0,0.3,0.0,1.7231999999999998,0.1568,0.6112,1.6,0.1472,2.72,78.88,0.048,0.0,5.12
Moo Goo Gai Pan,Quantity not specified,162.0,11.0,4.87,0.42,2.44,12.0,7.11,106.0,10.0,6.4,0.0,7.8894,11.518200000000002,3.9528,17.82,0.6803999999999999,19.44,171.72,10.368,0.0,16.2
"Moo Shu pork, without Chinese pancake",Quantity not specified,113.0,43.0,4.01,1.12,10.7,25.0,10.41,815.0,75.0,10.0,0.5,4.5313,11.7633,12.091,48.59,1.2656,28.25,920.95,11.3,0.565,84.75
Moose,1 cup,135.0,6.0,0.0,4.19,0.96,24.0,29.04,376.0,0.0,5.0,0.0,0.0,39.204,1.296,8.1,5.656500000000001,32.4,507.6,6.75,0.0,0.0
Mortadella,Quantity not specified,30.0,18.0,3.05,1.4,25.39,11.0,16.37,1246.0,0.0,0.0,1.0,0.915,4.9110000000000005,7.617000000000001,5.4,0.42,3.3,373.8,0.0,0.3,0.0
Moscow mule,Quantity not specified,225.0,2.0,8.6,0.14,0.01,1.0,0.0,5.0,0.0,0.0,0.0,19.35,0.0,0.0225,4.5,0.31500000000000006,2.25,11.25,0.0,0.0,0.0
Mousse,1 cup,170.0,102.0,16.23,0.52,15.12,21.0,4.2,34.0,138.0,0.2,1.5,27.590999999999998,7.14,25.704,173.4,0.884,35.7,57.8,0.34,2.55,234.6
"Mozzarella cheese, tomato, and basil, with oil and vinegar dressing",1 cup,160.0,203.0,3.86,0.31,10.87,16.0,7.17,209.0,89.0,8.6,0.1,6.176,11.472000000000001,17.392,324.8,0.496,25.6,334.4,13.76,0.16,142.4
"Mozzarella sticks, breaded, baked, or fried",1 cubic inch,14.7,334.0,25.14,0.62,18.33,21.0,14.75,861.0,99.0,0.0,0.2,3.69558,2.16825,2.6945099999999997,49.098,0.09113999999999998,3.0869999999999997,126.567,0.0,0.0294,14.552999999999999
"Muffin, English",1 sandwich size muffin,92.0,163.0,44.17,4.0,1.69,24.0,8.87,425.0,0.0,1.8,0.0,40.6364,8.1604,1.5548,149.96,3.68,22.08,391.0,1.656,0.0,0.0
"Muffin, English, cheese",Quantity not specified,58.0,190.0,42.08,3.81,3.31,24.0,9.59,436.0,16.0,1.7,0.0,24.406399999999998,5.562200000000001,1.9198,110.2,2.2098,13.92,252.88,0.986,0.0,9.28
"Muffin, English, multigrain",1 muffin,58.0,178.0,44.8,2.87,2.0,37.0,8.7,353.0,0.0,0.0,0.0,25.983999999999995,5.045999999999999,1.16,103.24,1.6646,21.46,204.74,0.0,0.0,0.0
"Muffin, English, oat bran",Quantity not specified,58.0,66.0,48.5,2.7,4.4,37.0,8.4,447.0,5.0,0.0,0.0,28.13,4.872000000000001,2.552,38.28,1.5660000000000003,21.46,259.26,0.0,0.0,2.9
"Muffin, English, oat bran, with raisins",1 muffin,58.0,66.0,51.58,2.61,3.98,37.0,7.89,405.0,4.0,0.2,0.0,29.9164,4.5762,2.3084000000000002,38.28,1.5138,21.46,234.9,0.11600000000000002,0.0,2.32
"Muffin, English, pumpernickel",Quantity not specified,58.0,68.0,47.5,2.87,3.1,54.0,8.7,596.0,0.0,0.0,0.0,27.55,5.045999999999999,1.798,39.44,1.6646,31.32,345.68,0.0,0.0,0.0
"Muffin, English, rye",1 muffin,58.0,73.0,48.3,2.83,3.3,40.0,8.5,570.0,0.0,0.4,0.0,28.013999999999996,4.93,1.9139999999999997,42.34,1.6414000000000002,23.2,330.6,0.23200000000000004,0.0,0.0
"Muffin, English, wheat bran",Quantity not specified,58.0,178.0,44.8,2.87,2.0,37.0,8.7,353.0,0.0,0.0,0.0,25.983999999999995,5.045999999999999,1.16,103.24,1.6646,21.46,204.74,0.0,0.0,0.0
"Muffin, English, wheat bran, with raisins",1 muffin,58.0,166.0,48.25,2.76,1.82,37.0,8.16,320.0,0.0,0.2,0.0,27.985,4.7328,1.0556,96.28,1.6007999999999998,21.46,185.6,0.11600000000000002,0.0,0.0
"Muffin, English, wheat or cracked wheat",1 muffin,58.0,178.0,44.8,2.87,2.0,37.0,8.7,353.0,0.0,0.0,0.0,25.983999999999995,5.045999999999999,1.16,103.24,1.6646,21.46,204.74,0.0,0.0,0.0
"Muffin, English, wheat or cracked wheat, with raisins",1 muffin,58.0,167.0,47.94,2.77,1.84,37.0,8.21,323.0,0.0,0.2,0.0,27.8052,4.761800000000001,1.0672,96.86,1.6066,21.46,187.34,0.11600000000000002,0.0,0.0
"Muffin, English, whole grain white",Quantity not specified,58.0,178.0,44.8,2.87,2.0,37.0,8.7,353.0,0.0,0.0,0.0,25.983999999999995,5.045999999999999,1.16,103.24,1.6646,21.46,204.74,0.0,0.0,0.0
"Muffin, English, whole wheat",Quantity not specified,58.0,178.0,44.8,2.87,2.0,37.0,8.7,353.0,0.0,0.0,0.0,25.983999999999995,5.045999999999999,1.16,103.24,1.6646,21.46,204.74,0.0,0.0,0.0
"Muffin, English, whole wheat, with raisins",Quantity not specified,58.0,167.0,47.94,2.77,1.84,37.0,8.21,323.0,0.0,0.2,0.0,27.8052,4.761800000000001,1.0672,96.86,1.6066,21.46,187.34,0.11600000000000002,0.0,0.0
"Muffin, English, with fruit other than raisins",1 muffin,58.0,171.0,47.64,4.2,1.79,26.0,9.31,442.0,0.0,2.6,0.0,27.6312,5.3998,1.0382,99.18,2.4360000000000004,15.08,256.36,1.508,0.0,0.0
"Muffin, English, with raisins",1 muffin,58.0,153.0,47.68,3.78,1.55,25.0,8.31,385.0,0.0,1.8,0.0,27.6544,4.8198,0.899,88.74,2.1923999999999997,14.5,223.3,1.044,0.0,0.0
"Muffin, NFS",1 small,70.0,44.0,53.0,1.3,16.07,10.0,4.49,336.0,21.0,0.9,0.1,37.1,3.1430000000000002,11.249,30.8,0.91,7.0,235.2,0.63,0.07,14.7
"Muffin, bran with fruit, lowfat",Quantity not specified,58.0,65.0,39.99,1.7,1.5,43.0,5.42,433.0,16.0,0.6,0.2,23.194200000000002,3.1436,0.87,37.7,0.986,24.94,251.14,0.348,0.11600000000000002,9.28
"Muffin, carrot",1 medium,130.0,141.0,44.42,1.89,13.21,15.0,5.01,309.0,207.0,1.0,0.5,57.746,6.513,17.173000000000002,183.3,2.457,19.5,401.7,1.3,0.65,269.1
"Muffin, cheese",1 bite size,10.0,261.0,30.51,2.53,23.0,19.0,9.72,491.0,85.0,0.0,0.8,3.051,0.972,2.3,26.1,0.25299999999999995,1.9,49.1,0.0,0.08,8.5
"Muffin, chocolate",Quantity not specified,130.0,163.0,50.94,3.31,18.75,36.0,6.54,339.0,37.0,0.0,0.6,66.222,8.502,24.375,211.9,4.303,46.8,440.7,0.0,0.78,48.1
"Muffin, chocolate chip",1 large,180.0,146.0,55.4,2.49,19.04,33.0,5.77,306.0,34.0,0.0,0.5,99.72,10.386,34.272,262.8,4.482,59.4,550.8,0.0,0.9,61.2
"Muffin, fruit",1 large,180.0,44.0,53.0,1.3,16.07,10.0,4.49,336.0,21.0,0.9,0.1,95.4,8.082,28.926,79.2,2.34,18.0,604.8,1.62,0.18,37.8
"Muffin, fruit, low fat",1 large,180.0,35.0,50.05,2.0,4.22,10.0,4.23,413.0,10.0,0.9,0.1,90.09,7.614000000000001,7.595999999999999,63.0,3.6,18.0,743.4,1.62,0.18,18.0
"Muffin, oat bran",1 medium,130.0,63.0,48.3,4.2,7.4,157.0,7.0,393.0,0.0,0.0,0.0,62.79,9.1,9.62,81.9,5.46,204.1,510.9,0.0,0.0,0.0
"Muffin, oatmeal",1 miniature,25.0,174.0,43.94,2.09,18.92,24.0,6.43,404.0,45.0,0.0,0.7,10.985,1.6075,4.73,43.5,0.5225,6.0,101.0,0.0,0.175,11.25
"Muffin, plain",Quantity not specified,130.0,165.0,52.02,2.29,16.21,15.0,5.93,358.0,40.0,0.0,0.6,67.626,7.709,21.073,214.5,2.977,19.5,465.4,0.0,0.78,52.0
"Muffin, pumpkin",1 small,70.0,137.0,43.21,2.15,12.93,18.0,4.97,285.0,209.0,0.8,0.5,30.247000000000003,3.4789999999999996,9.051,95.9,1.505,12.6,199.5,0.56,0.35,146.3
"Muffin, wheat",1 small,70.0,168.0,45.7,2.17,18.03,27.0,6.92,389.0,44.0,0.0,0.7,31.99,4.843999999999999,12.621000000000002,117.6,1.5190000000000001,18.9,272.3,0.0,0.49,30.8
"Muffin, wheat bran",1 miniature,25.0,93.0,38.67,2.54,5.01,70.0,6.26,208.0,51.0,0.4,0.3,9.6675,1.565,1.2525,23.25,0.635,17.5,52.0,0.1,0.075,12.75
"Muffin, whole grain",1 miniature,25.0,168.0,45.7,2.17,18.03,27.0,6.92,389.0,44.0,0.0,0.7,11.425,1.73,4.5075,42.0,0.5425,6.75,97.25,0.0,0.175,11.0
"Muffin, whole wheat",1 miniature,25.0,173.0,44.01,1.75,18.44,51.0,7.8,393.0,44.0,0.0,0.7,11.0025,1.95,4.61,43.25,0.4375,12.75,98.25,0.0,0.175,11.0
"Muffin, zucchini",Quantity not specified,130.0,137.0,42.64,1.93,13.14,16.0,5.05,290.0,34.0,3.0,0.5,55.431999999999995,6.565,17.082,178.1,2.509,20.8,377.0,3.9,0.65,44.2
Multigrain chips (Sun Chips),1 chip,2.0,20.0,67.26,1.74,21.11,76.0,7.95,423.0,3.0,0.0,0.0,1.3452000000000002,0.159,0.42219999999999996,0.4,0.0348,1.52,8.46,0.0,0.0,0.06
Multiple meat sandwich on wheat,"1 regular or 6"" submarine",220.0,84.0,20.08,1.83,5.78,34.0,13.69,704.0,0.0,0.0,0.2,44.175999999999995,30.118,12.716000000000001,184.8,4.026,74.8,1548.8,0.0,0.44,0.0
"Multiple meat sandwich on wheat, with cheese",1 large,250.0,188.0,18.17,1.65,8.67,34.0,14.54,743.0,35.0,0.0,0.7,45.425,36.35,21.675,470.0,4.125,85.0,1857.5,0.0,1.75,87.5
Multiple meat sandwich on white,1 large,220.0,104.0,21.66,1.91,5.62,22.0,12.87,708.0,0.0,0.0,0.2,47.652,28.313999999999997,12.364,228.8,4.202,48.4,1557.6,0.0,0.44,0.0
"Multiple meat sandwich on white, with cheese",Quantity not specified,165.0,206.0,19.54,1.73,8.53,23.0,13.83,746.0,35.0,0.0,0.7,32.241,22.819499999999998,14.074499999999999,339.9,2.8545,37.95,1230.9,0.0,1.1549999999999998,57.75
"Multiple meat sandwich or sub, restaurant",1 regular,165.0,95.0,19.25,1.78,5.76,22.0,13.18,730.0,0.0,0.0,0.3,31.7625,21.747,9.504,156.75,2.937,36.3,1204.5,0.0,0.495,0.0
"Multiple meat sandwich or sub, with cheese, restaurant","1 regular or 6"" submarine",285.0,212.0,17.18,1.59,9.07,23.0,14.23,771.0,40.0,0.0,0.7,48.963,40.5555,25.849500000000003,604.2,4.5315,65.55,2197.35,0.0,1.995,114.0
Multiple meat sandwich wrap,"1 sandwich, any size",165.0,182.0,19.61,1.82,10.13,21.0,13.38,837.0,35.0,0.0,0.7,32.356500000000004,22.077,16.7145,300.3,3.003,34.65,1381.05,0.0,1.1549999999999998,57.75
"Mung beans, cooked",1 cup,185.0,25.0,17.8,1.31,6.86,45.0,6.52,218.0,1.0,0.9,0.0,32.93,12.061999999999998,12.691,46.25,2.4235,83.25,403.3,1.665,0.0,1.85
"Mushroom, Asian, cooked, from dried",Quantity not specified,72.0,1.0,8.15,0.14,0.2,14.0,2.4,117.0,0.0,2.1,0.1,5.868,1.7279999999999998,0.14400000000000002,0.72,0.10080000000000001,10.08,84.24,1.5120000000000002,0.07200000000000001,0.0
"Mushrooms, NS as to form, cooked",1 piece/slice,6.0,6.0,5.0,0.28,3.6,12.0,3.52,158.0,14.0,2.2,0.0,0.3,0.2112,0.21600000000000003,0.36,0.016800000000000002,0.72,9.48,0.132,0.0,0.84
"Mushrooms, canned, cooked",1 cup,160.0,11.0,4.95,0.77,2.84,15.0,1.82,421.0,11.0,0.0,0.2,7.92,2.912,4.544,17.6,1.232,24.0,673.6,0.0,0.32,17.6
"Mushrooms, for use on a sandwich",Guideline amount on large sandwich,18.0,5.0,4.13,0.23,0.35,10.0,2.9,6.0,0.0,2.1,0.0,0.7434000000000001,0.5219999999999999,0.063,0.9,0.041400000000000006,1.8,1.08,0.37800000000000006,0.0,0.0
"Mushrooms, fresh, cooked with butter or margarine",1 piece/slice,6.0,7.0,5.01,0.28,3.16,12.0,3.52,169.0,28.0,2.2,0.1,0.3006,0.2112,0.18960000000000002,0.42,0.016800000000000002,0.72,10.14,0.132,0.006000000000000001,1.68
"Mushrooms, fresh, cooked with oil",1 cup,160.0,6.0,5.0,0.28,4.05,12.0,3.5,148.0,0.0,2.2,0.0,8.0,5.6,6.48,9.6,0.44800000000000006,19.2,236.8,3.52,0.0,0.0
"Mushrooms, fresh, cooked, fat added, NS as to fat type",1 cup,160.0,6.0,5.0,0.28,3.6,12.0,3.52,158.0,14.0,2.2,0.0,8.0,5.632000000000001,5.76,9.6,0.44800000000000006,19.2,252.8,3.52,0.0,22.4
"Mushrooms, fresh, cooked, no added fat",1 piece/slice,6.0,6.0,5.15,0.28,0.43,12.0,3.61,152.0,0.0,2.2,0.0,0.309,0.21660000000000001,0.0258,0.36,0.016800000000000002,0.72,9.12,0.132,0.0,0.0
"Mushrooms, pickled",1 cup,155.0,6.0,8.29,0.19,0.3,8.0,2.4,949.0,0.0,1.5,0.0,12.849499999999999,3.72,0.465,9.3,0.2945,12.4,1470.95,2.325,0.0,0.0
"Mushrooms, raw",Quantity not specified,35.0,5.0,4.13,0.23,0.35,10.0,2.9,6.0,0.0,2.1,0.0,1.4454999999999998,1.015,0.1225,1.75,0.0805,3.5,2.1,0.735,0.0,0.0
"Mushrooms, stuffed",1 stuffed cap,25.0,147.0,27.72,1.83,15.0,27.0,10.7,638.0,112.0,4.4,0.5,6.93,2.675,3.75,36.75,0.4575,6.75,159.5,1.1,0.125,28.0
Mussels,1 mussel,15.0,33.0,4.67,5.0,2.84,43.0,15.06,362.0,58.0,8.1,0.0,0.7005,2.259,0.42599999999999993,4.95,0.75,6.45,54.3,1.215,0.0,8.7
Mustard,Guideline amount on regular sandwich,5.0,63.0,5.3,1.59,3.38,48.0,4.25,1100.0,4.0,0.4,0.0,0.265,0.2125,0.16899999999999998,3.15,0.0795,2.4,55.0,0.02,0.0,0.2
"Mustard greens, NS as to form, cooked",1 cup,150.0,120.0,4.87,1.71,3.18,33.0,2.99,151.0,162.0,51.0,0.0,7.305,4.485,4.77,180.0,2.565,49.5,226.5,76.5,0.0,243.0
"Mustard greens, fresh, cooked, fat added",Quantity not specified,75.0,120.0,4.87,1.71,3.18,33.0,2.99,151.0,162.0,51.0,0.0,3.6525,2.2425,2.385,90.0,1.2825,24.75,113.25,38.25,0.0,121.5
"Mustard greens, fresh, cooked, no added fat",Quantity not specified,70.0,123.0,5.01,1.76,0.45,34.0,3.07,146.0,154.0,52.5,0.0,3.5069999999999997,2.1489999999999996,0.315,86.1,1.232,23.8,102.2,36.75,0.0,107.8
"Mustard greens, frozen, cooked, fat added",1 cup,170.0,98.0,3.02,1.09,2.79,13.0,2.21,145.0,354.0,13.4,0.0,5.1339999999999995,3.7569999999999997,4.743,166.6,1.8530000000000002,22.1,246.5,22.78,0.0,601.8
"Mustard greens, frozen, cooked, no added fat",Quantity not specified,83.0,101.0,3.1,1.12,0.25,13.0,2.26,141.0,353.0,13.8,0.0,2.573,1.8758,0.2075,83.83,0.9296000000000001,10.79,117.03,11.454,0.0,292.99
"Mustard greens, raw",1 cup,56.0,115.0,4.67,1.64,0.42,32.0,2.86,20.0,151.0,70.0,0.0,2.6151999999999997,1.6016,0.2352,64.4,0.9183999999999999,17.92,11.2,39.2,0.0,84.56
"Nachos, NFS",1 order,250.0,74.0,23.85,1.11,15.85,31.0,7.6,488.0,11.0,0.0,0.0,59.625,19.0,39.625,185.0,2.775,77.5,1220.0,0.0,0.0,27.5
"Nachos, beef or pork",Quantity not specified,125.0,65.0,19.87,1.34,15.96,29.0,10.73,429.0,10.0,0.0,0.0,24.8375,13.4125,19.95,81.25,1.675,36.25,536.25,0.0,0.0,12.5
