recipe,default_portion,default_portion_in_grams,Calcium_(MG)_per_100G,Carbohydrates_(G)_per_100G,Iron_(MG)_per_100G,Lipid_(G)_per_100G,Magnesium_(MG)_per_100G,Protein_(G)_per_100G,Sodium_(MG)_per_100G,Vitamin_A_(UG)_per_100G,Vitamin_C_(MG)_per_100G,Vitamin_D_(UG)_per_100G,Carbohydrates_(G)_total,Protein_(G)_total,Lipid_(G)_total,Calcium_(MG)_total,Iron_(MG)_total,Magnesium_(MG)_total,Sodium_(MG)_total,Vitamin_C_(MG)_total,Vitamin_D_(UG)_total,Vitamin_A_(UG)_total
"Antipasto with ham, fish, cheese, vegetables","Quantity not specified, if main course in meal",402.0,178.0,3.75,0.8,10.7,21.0,11.62,854.0,288.0,1.5,0.4,15.075,46.712399999999995,43.013999999999996,715.56,3.216,84.42,3433.08,6.03,1.608,1157.76
Apple cider,1 fl oz (NFS),31.0,8.0,11.3,0.12,0.13,5.0,0.1,4.0,0.0,0.9,0.0,3.503,0.031,0.0403,2.48,0.0372,1.55,1.24,0.279,0.0,0.0
"Apple juice beverage, 40-50% juice, light",1 fl oz (no ice),31.0,3.0,5.1,0.2,0.1,5.0,0.0,13.0,0.0,24.0,0.0,1.581,0.0,0.031,0.93,0.062,1.55,4.03,7.44,0.0,0.0
"Apple juice, 100%",1 fun size box (4.23 fl oz),131.0,7.0,11.34,0.06,0.25,5.0,0.09,5.0,0.0,38.6,0.0,14.8554,0.11789999999999999,0.3275,9.17,0.07859999999999999,6.55,6.55,50.566,0.0,0.0
"Apple juice, 100%, with calcium added",1 fl oz (no ice),31.0,70.0,11.49,0.13,0.17,5.0,0.12,5.0,0.0,30.3,0.0,3.5619,0.0372,0.052700000000000004,21.7,0.0403,1.55,1.55,9.393,0.0,0.0
Apple pie filling,1 cup,260.0,4.0,26.1,0.29,0.1,2.0,0.1,47.0,2.0,1.7,0.0,67.86,0.26,0.26,10.4,0.7539999999999999,5.2,122.2,4.42,0.0,5.2
Apple salad with dressing,1 cup,137.0,15.0,12.2,0.28,14.24,15.0,1.45,87.0,6.0,3.4,0.0,16.714,1.9865000000000002,19.5088,20.55,0.38360000000000005,20.55,119.19,4.658,0.0,8.22
"Apple, baked",Quantity not specified,210.0,14.0,22.7,0.19,3.08,6.0,0.32,4.0,29.0,3.9,0.0,47.67,0.672,6.468000000000001,29.4,0.39899999999999997,12.6,8.4,8.19,0.0,60.9
"Apple, candied",Quantity not specified,320.0,39.0,29.61,0.12,2.15,8.0,1.34,62.0,5.0,3.6,0.0,94.75200000000001,4.288,6.88,124.8,0.384,25.6,198.4,11.52,0.0,16.0
"Apple, dried",Quantity not specified,40.0,14.0,65.89,1.4,0.32,16.0,0.93,87.0,0.0,3.9,0.0,26.355999999999998,0.37200000000000005,0.128,5.6,0.56,6.4,34.8,1.56,0.0,0.0
"Apple, raw",1 medium,200.0,5.0,14.8,0.03,0.15,5.0,0.17,0.0,3.0,4.6,0.0,29.6,0.34,0.3,10.0,0.06,10.0,0.0,9.2,0.0,6.0
"Applesauce, flavored",1 pouch,90.0,4.0,17.97,0.04,0.17,4.0,0.25,1.0,0.0,40.8,0.0,16.173,0.225,0.153,3.6,0.036000000000000004,3.6,0.9,36.72,0.0,0.0
"Applesauce, regular",1 cup,250.0,4.0,17.97,0.04,0.17,4.0,0.25,1.0,0.0,40.8,0.0,44.925,0.625,0.425,10.0,0.1,10.0,2.5,102.0,0.0,0.0
