recipe,default_portion,default_portion_in_grams,Calcium_(MG)_total,Carbohydrates_(G)_total,Iron_(MG)_total,Lipid_(G)_total,Magnesium_(MG)_total,Protein_(G)_total,Sodium_(MG)_total,Vitamin_A_(UG)_total,Vitamin_C_(MG)_total,Vitamin_D_(UG)_total,Calcium_(MG)_per_100G,Carbohydrates_(G)_per_100G,Iron_(MG)_per_100G,Lipid_(G)_per_100G,Magnesium_(MG)_per_100G,Protein_(G)_per_100G,Sodium_(MG)_per_100G,Vitamin_A_(UG)_per_100G,Vitamin_C_(MG)_per_100G,Vitamin_D_(UG)_per_100G
Rice,1 cup,244.0,43.92,21.6184,3.2696000000000005,19.3736,51.24,43.1636,1273.68,9.76,0.0,0.976,18.0,8.86,1.34,7.94,21.0,17.69,522.0,4.0,0.0,0.4
Tomato,1 slice,20.0,2.0,0.8079999999999999,0.044,0.062,2.0,0.1639999999999999,0.8,6.4,3.26,0.0,10.0,4.04,0.22,0.31,10.0,0.82,4.0,32.0,16.3,0.0
White coffee,1 fl oz,31.0,29.76,3.1682,0.0062,0.4557,7.75,0.7936,14.26,19.53,0.062,0.248,96.0,10.22,0.02,1.47,25.0,2.56,46.0,63.0,0.2,0.8
Apple,1 medium,200.0,10.0,29.6,0.06,0.3,10.0,0.34,0.0,6.0,9.2,0.0,5.0,14.8,0.03,0.15,5.0,0.17,0.0,3.0,4.6,0.0
Linseeds,Quantity not specified,28.0,18.48,6.0844000000000005,1.3636,13.8908,65.52,6.1488,1.96,0.0,0.42,0.0,66.0,21.73,4.87,49.61,234.0,21.96,7.0,0.0,1.5,0.0
Sunflower seeds,1 package,50.0,35.0,12.035,1.9,24.9,64.5,9.665,1.5,0.0,0.7,0.0,70.0,24.07,3.8,49.8,129.0,19.33,3.0,0.0,1.4,0.0
Ham,recipe_1_person,4.2,2.4425,2.27271,0.040565,0.051085,1.0185,0.07903,14.105,1.685,0.44075,0.0,58.15476190476191,54.11214285714285,0.9658333333333332,1.2163095238095238,24.25,1.8816666666666664,335.8333333333333,40.11904761904762,10.49404761904762,0.0
Lye pretzel (soft),recipe_1_person,408.2,145.58249999999998,37.499535,3.93294,78.49455999999999,39.3435,19.66808,644.5175,773.7275000000001,0.0854999999999999,4.1215,35.66450269475747,9.18655928466438,0.963483586477217,19.229436550710435,9.63829005389515,4.818245957863792,157.89257716805488,189.54617834394904,0.0209456148946594,1.0096766291033807
Butter,1 tablespoon,14.0,2.94,0.0084,0.0084,11.508,0.28,0.119,73.36,106.12,0.0,0.056,21.0,0.06,0.06,82.2,2.0,0.85,524.0,758.0,0.0,0.4
Cucumber,recipe_1_person,241.45,38.485,8.296585,0.463165,2.28626,18.636,2.470455,154.55,113.9475,58.8025,0.02625,15.939117829778423,3.43615034168565,0.1918264651066473,0.9468875543590805,7.718368192172292,1.0231745703044108,64.00911161731207,47.19300062124664,24.353903499689377,0.010871816110996
